,UF,codMun,AreaPrestacao
558,MG,3151701,Setor 2
559,MG,3151800,Setor 2
560,MG,3151909,Setor 2
561,MG,3152006,Setor 2
562,MG,3152105,Setor 2
563,MG,3152131,Setor 2
564,MG,3152170,Setor 2
565,MG,3152204,Setor 2
566,MG,3152303,Setor 2
567,MG,3152402,Setor 2
568,MG,3152501,Setor 2
569,MG,3152600,Setor 2
570,MG,3152709,Setor 2
571,MG,3152907,Setor 2
572,MG,3153004,Setor 2
573,MG,3153103,Setor 2
574,MG,3153202,Setor 2
575,MG,3153301,Setor 2
576,MG,3153509,Setor 2
577,MG,3153608,Setor 2
578,MG,3153707,Setor 2
579,MG,3153806,Setor 2
580,MG,3153905,Setor 2
581,MG,3154002,Setor 2
582,MG,3154101,Setor 2
583,MG,3154150,Setor 2
584,MG,3154200,Setor 2
585,MG,3154309,Setor 2
586,MG,3154408,Setor 2
587,MG,3154457,Setor 2
588,MG,3154507,Setor 2
589,MG,3154606,Setor 2
590,MG,3154705,Setor 2
591,MG,3154804,Setor 2
592,MG,3154903,Setor 2
593,MG,3155009,Setor 2
594,MG,3155108,Setor 2
595,MG,3155207,Setor 2
596,MG,3155306,Setor 2
597,MG,3155405,Setor 2
598,MG,3155603,Setor 2
599,MG,3155702,Setor 2
600,MG,3155801,Setor 2
601,MG,3155900,Setor 2
602,MG,3156007,Setor 2
603,MG,3156106,Setor 2
604,MG,3156205,Setor 2
605,MG,3156304,Setor 2
606,MG,3156403,Setor 2
607,MG,3156452,Setor 2
608,MG,3156502,Setor 2
609,MG,3156601,Setor 2
610,MG,3156700,Setor 2
611,MG,3156809,Setor 2
612,MG,3156908,Setor 2
613,MG,3157005,Setor 2
614,MG,3157104,Setor 2
615,MG,3157203,Setor 2
616,MG,3157252,Setor 2
617,MG,3157278,Setor 2
618,MG,3157302,Setor 2
619,MG,3157336,Setor 2
620,MG,3157377,Setor 2
621,MG,3157401,Setor 2
622,MG,3157500,Setor 2
623,MG,3157609,Setor 2
624,MG,3157658,Setor 2
625,MG,3157807,Setor 2
626,MG,3157906,Setor 2
627,MG,3158003,Setor 2
628,MG,3158102,Setor 2
629,MG,3158201,Setor 2
630,MG,3158300,Setor 2
631,MG,3158409,Setor 2
632,MG,3158508,Setor 2
633,MG,3158607,Setor 2
634,MG,3158706,Setor 2
635,MG,3158805,Setor 2
636,MG,3158904,Setor 2
637,MG,3158953,Setor 2
638,MG,3159001,Setor 2
639,MG,3159100,Setor 2
640,MG,3159209,Setor 2
641,MG,3159308,Setor 2
642,MG,3159357,Setor 2
